First Name,Last Name,Age,Nationality,Height,Weight,Team Name,League,Appearances,Lineups,Minutes,Number,Position,Rating,Captain,In,Out,Bench,Total Shots,On Target Shots,Total Goals,Conceded Goals,Assists,Saves,Total Passes,Key Passes,Pass Accuracy,Total Tackles,Blocks,Interceptions,Total Duels,Duels Won,Dribble Attempts,Dribble Success,Past Dribbles,Fouls Drawn,Fouls Committed,Yellow Cards,Red Cards,Penalties Won,Penalties Committed,Penalties Scored,Penalties Missed,Penalties Saved
Ibrahima,Diallo,24.0,France,179 cm,68 kg,Southampton,Premier League,38,11,3420,,Midfielder,6.505555,0.0,7,7,7,4.0,,0,46.0,,,1475.0,4.0,23.0,25.0,1.0,1.0,22.0,18.0,13.0,1.0,,7.0,18.0,4,0,,,0.0,0.0,
Lyanco Evangelista,Silveira Neves Vojnović,26.0,Brazil,187 cm,85 kg,Southampton,Premier League,18,11,819,,Defender,6.823809,0.0,10,2,10,11.0,,0,0.0,1.0,,398.0,4.0,18.0,24.0,25.0,6.0,102.0,55.0,10.0,8.0,,10.0,16.0,4,0,,,0.0,0.0,
Oliwier,Zych,19.0,Poland,193 cm,,Aston Villa,Premier League,21,0,1172,,Goalkeeper,,0.0,0,0,0,,,1,0.0,,,,,18.0,,,,114.0,67.0,,8.0,,,,0,0,,,0.0,0.0,0.0
Viljami Kari Veikko,Sinisalo,22.0,Finland,190 cm,,Aston Villa,Premier League,0,0,0,,Goalkeeper,,0.0,0,0,0,,,0,0.0,,,,,,,,,,,,,,,,0,0,,,0.0,0.0,0.0
Lino Gonçalo,da Cruz Sousa,18.0,England,185 cm,,Arsenal,Premier League,0,0,0,,Defender,,0.0,0,0,0,,,0,0.0,,,,,,,,,,,,,,,,0,0,,,0.0,0.0,
Marc,Jurado Gómez,19.0,Spain,178 cm,,Manchester United,Premier League,0,0,0,,Defender,,0.0,0,0,0,,,0,0.0,,,,,,,,,,,,,,,,0,0,,,0.0,0.0,
Alfie,Dorrington,18.0,England,,,Tottenham,Premier League,0,0,0,,Defender,,0.0,0,0,0,,,0,,,,,,,,,,,,,,,,,0,0,,,,,
Jadon Malik,Sancho,23.0,England,180 cm,76 kg,Manchester United,Premier League,26,21,1698,,Attacker,6.967857,0.0,5,17,5,27.0,12.0,6,0,3.0,,749.0,44.0,24.0,16.0,2.0,7.0,161.0,60.0,73.0,32.0,,10.0,9.0,0,0,,,0,0,
Christian,Dannemann Eriksen,31.0,Denmark,182 cm,76 kg,Manchester United,Premier League,28,25,2062,,Midfielder,6.865217,0.0,3,18,3,6.0,4.0,1,0,8.0,,1099.0,36.0,42.0,22.0,17.0,11.0,121.0,48.0,16.0,7.0,,10.0,13.0,3,0,,,0,0,
Raphaël Xavier,Varane,30.0,France,191 cm,81 kg,Manchester United,Premier League,24,22,1915,,Defender,6.444444,0.0,2,6,2,1.0,,0,0,,,294.0,4.0,41.0,24.0,5.0,11.0,117.0,74.0,9.0,5.0,,3.0,12.0,1,0,,,0,0,
Kristoffer,Vassbakk Ajer,25.0,Norway,198 cm,92 kg,Brentford,Premier League,9,9,766,,Defender,6.829411,0.0,0,3,0,17.0,7.0,0,0,,,222.0,7.0,24.0,11.0,3.0,7.0,69.0,34.0,4.0,,,8.0,5.0,0,0,,,0,0,
Matheus Santos,Carneiro da Cunha,24.0,Brazil,184 cm,76 kg,Wolves,Premier League,17,12,971,,Attacker,6.581818,0.0,5,11,5,3.0,1.0,2,0,,,215.0,,9.0,7.0,2.0,9.0,147.0,61.0,34.0,26.0,,21.0,20.0,1,0,,,0,0,
Saša,Lukić,27.0,Serbia,183 cm,76 kg,Fulham,Premier League,12,4,407,,Midfielder,6.740540,0.0,8,3,8,14.0,6.0,0,0,3.0,,1500.0,23.0,15.0,8.0,13.0,5.0,50.0,26.0,5.0,4.0,,10.0,13.0,1,0,,,0,0,
Timothy,Castagne,28.0,Belgium,185 cm,80 kg,Leicester,Premier League,37,36,3256,,Defender,6.883783,0.0,1,3,1,,,2,0,1.0,,1158.0,2.0,32.0,87.0,,43.0,323.0,167.0,24.0,10.0,,15.0,25.0,3,0,,,0,0,
Jordan Lee,Pickford,29.0,England,185 cm,82 kg,Everton,Premier League,37,37,1551,,Midfielder,7.161111,0.0,0,0,0,13.0,3.0,0,57,2.0,124.0,1421.0,20.0,16.0,,2.0,4.0,19.0,13.0,,,,5.0,1.0,6,0,,,0,0,0.0
Enzo Jeremías,Fernández,22.0,Argentina,178 cm,76 kg,Chelsea,Premier League,18,18,1411,,Attacker,6.714814,0.0,0,4,0,32.0,15.0,0,0,1.0,,219.0,10.0,70.0,45.0,4.0,16.0,172.0,91.0,30.0,17.0,,22.0,11.0,3,0,,,0,0,
Taiwo Micheal,Awoniyi,26.0,Nigeria,183 cm,84 kg,Nottingham Forest,Premier League,27,17,667,,Defender,6.963636,0.0,10,17,10,6.0,2.0,10,0,,,329.0,6.0,5.0,17.0,6.0,4.0,188.0,61.0,17.0,5.0,,19.0,24.0,2,0,,,0,0,
Matthew James,Doherty,31.0,Republic of Ireland,185 cm,80 kg,Tottenham,Premier League,12,7,1052,,Defender,6.784615,0.0,1,5,5,1.0,1.0,1,0,,,787.0,1.0,22.0,16.0,11.0,8.0,77.0,45.0,9.0,5.0,,7.0,11.0,0,0,,,0,0,
Jonathan Grant,Evans,35.0,Northern Ireland,188 cm,77 kg,Leicester,Premier League,13,12,1096,,Midfielder,6.732142,0.0,16,2,1,12.0,4.0,0,0,3.0,,376.0,12.0,53.0,13.0,2.0,18.0,71.0,69.0,,,,32.0,9.0,1,0,,,0,0,
Harry,Wilson,26.0,Wales,173 cm,63 kg,Fulham,Premier League,29,13,180,,Goalkeeper,6.600000,0.0,0,12,16,,,2,0,,2.0,58.0,,10.0,21.0,,6.0,129.0,1.0,26.0,12.0,,,,0,0,,,0,0,
Marek,Rodák,27.0,Slovakia,194 cm,81 kg,Fulham,Premier League,2,2,2700,,Defender,7.173333,0.0,0,0,0,12.0,9.0,0,2,,,1092.0,9.0,13.0,,31.0,,1.0,169.0,,2.0,,10.0,6.0,0,0,,,0,0,
Ethan Rupert,Pinnock,30.0,Jamaica,187 cm,79 kg,Brentford,Premier League,30,30,1599,,Midfielder,6.743243,0.0,22,15,0,29.0,15.0,7,0,3.0,,327.0,13.0,29.0,52.0,,35.0,239.0,86.0,3.0,19.0,,26.0,21.0,3,0,,,0,0,
Yoane,Wissa,27.0,Congo DR,176 cm,74 kg,Brentford,Premier League,38,16,1068,,Defender,6.628571,0.0,12,5,22,8.0,5.0,1,0,,,473.0,7.0,6.0,17.0,,6.0,178.0,83.0,34.0,25.0,,11.0,15.0,4,0,,,0,0,
Rayan,Aït-Nouri,22.0,Algeria,179 cm,70 kg,Wolves,Premier League,21,9,1068,,Defender,6.628571,0.0,12,5,12,8.0,5.0,1,0,,,473.0,7.0,18.0,33.0,,9.0,149.0,83.0,43.0,25.0,,11.0,15.0,4,0,,,0,0,
Tote António,Gomes,24.0,Portugal,187 cm,72 kg,Wolves,Premier League,21,9,980,,Defender,6.847058,0.0,7,3,12,5.0,2.0,1,0,,,496.0,4.0,24.0,15.0,8.0,11.0,149.0,46.0,43.0,9.0,,5.0,16.0,6,0,,,0,0,
Scott,Fraser McKenna,27.0,Scotland,189 cm,74 kg,Wolves,Premier League,17,10,1573,,Defender,6.678947,0.0,1,3,7,2.0,,0,0,,,700.0,8.0,27.0,12.0,14.0,12.0,91.0,57.0,15.0,5.0,,4.0,8.0,4,0,,,0,0,
Facundo,Pellistri Rebollo,22.0,Uruguay,175 cm,69 kg,Nottingham Forest,Premier League,20,19,60,,Midfielder,6.500000,0.0,4,0,4,,,0,0,,,15.0,,3.0,1.0,,,94.0,5.0,3.0,2.0,,2.0,1.0,0,0,,,0,0,
Claudio Amarildo,Gomes,23.0,France,180 cm,,Manchester City,Premier League,0,0,0,,Midfielder,,0.0,0,0,0,,,0,0.0,,,,,,,,,,,,,,,,0,0,,,0.0,0.0,
Patrick,Cutrone,25.0,Italy,183 cm,75 kg,Wolves,Premier League,0,0,0,,Attacker,,0.0,0,0,0,,,0,,,,,,,,,,,,,,,,,0,0,,,,,
Christian,Benteke Liolo,33.0,Belgium,190 cm,83 kg,Crystal Palace,Premier League,0,0,0,,Attacker,,0.0,0,0,0,,,0,,,,,,,,,,,,,,,,,0,0,,,,,
Jacob Harry,Maguire,30.0,England,194 cm,90 kg,Manchester United,Premier League,16,8,759,,Defender,6.923076,0.0,8,0,8,1.0,,0,0.0,,,574.0,1.0,37.0,8.0,11.0,13.0,71.0,39.0,3.0,2.0,,4.0,8.0,4,0,,,0.0,0.0,
Mateusz Andrzej,Klich,33.0,Poland,183 cm,84 kg,Leeds,Premier League,14,0,266,,Midfielder,6.428571,0.0,14,0,14,2.0,1.0,0,0.0,,,136.0,5.0,7.0,12.0,,,41.0,18.0,6.0,2.0,,3.0,10.0,2,0,,,0.0,0.0,
Cheick Oumar,Doucouré,23.0,Mali,180 cm,73 kg,Crystal Palace,Premier League,34,34,2786,,Midfielder,7.000000,0.0,0,17,0,24.0,7.0,0,0.0,3.0,,1239.0,26.0,30.0,77.0,13.0,56.0,248.0,135.0,21.0,15.0,,13.0,38.0,10,0,,,0.0,0.0,
Eldin,Jakupović,39.0,Switzerland,191 cm,85 kg,Everton,Premier League,0,0,0,,Goalkeeper,,0.0,0,0,0,,,0,0.0,,,,,,,,,,,,,,,,0,0,,,0.0,0.0,0.0
Samuel William,Surridge,25.0,England,191 cm,77 kg,Nottingham Forest,Premier League,20,1,305,,Attacker,6.452631,0.0,19,1,19,7.0,2.0,1,0.0,,,77.0,1.0,2.0,5.0,2.0,,65.0,30.0,4.0,2.0,,10.0,12.0,2,0,,,0.0,0.0,
Robert Kenedy,Nunes do Nascimento,27.0,Brazil,182 cm,77 kg,Chelsea,Premier League,0,0,0,,Midfielder,,0.0,0,0,0,,,0,,,,,,,,,,,,,,,,,0,0,,,,,
Yan,Valery,24.0,Tunisia,180 cm,85 kg,Southampton,Premier League,1,1,46,,Defender,6.000000,0.0,0,1,0,,,0,0.0,,,22.0,,15.0,,,,4.0,1.0,,,,,,0,0,,,0.0,0.0,
Anthony Patrick,Knockaert,32.0,France,172 cm,69 kg,Fulham,Premier League,0,0,0,,Midfielder,,0.0,0,0,0,,,0,,,,,,,,,,,,,,,,,0,0,,,,,
Florin,Andone,30.0,Romania,180 cm,78 kg,Brighton,Premier League,0,0,0,,Attacker,,0.0,0,0,0,,,0,,,,,,,,,,,,,,,,,0,0,,,,,
Nayef,Aguerd,27.0,Morocco,190 cm,76 kg,West Ham,Premier League,18,17,1595,,Defender,6.944444,0.0,1,1,1,9.0,2.0,2,0.0,,,759.0,6.0,33.0,27.0,24.0,18.0,124.0,71.0,4.0,4.0,,8.0,8.0,4,0,,,0.0,0.0,
Richmond Mamah,Laryea,28.0,Canada,175 cm,68 kg,Nottingham Forest,Premier League,0,0,0,,Defender,,0.0,0,0,0,,,0,,,,,,,,,,,,,,,,,0,0,,,,,
Walter James,Byrne Furlong,21.0,Republic of Ireland,178 cm,72 kg,Brighton,Premier League,0,0,0,,Defender,,0.0,0,0,0,,,0,0.0,,,,,,,,,,,,,,,,0,0,,,0.0,0.0,
Braian Óscar,Ojeda Rodríguez,23.0,Paraguay,172 cm,68 kg,Nottingham Forest,Premier League,0,0,0,,Midfielder,,0.0,0,0,0,,,0,,,,,,,,,,,,,,,,,0,0,,,,,
Romaric,Yapi,23.0,France,178 cm,70 kg,Vitesse,Premier League,0,0,0,,Defender,,0.0,0,0,0,,,0,,,,,,,,,,,,,,,,,0,0,,,,,
Victor,Bernth Kristiansen,21.0,Denmark,181 cm,,Leicester,Premier League,12,11,895,,Defender,6.609090,0.0,1,4,1,2.0,,0,0.0,1.0,,364.0,7.0,23.0,38.0,4.0,3.0,118.0,63.0,12.0,7.0,,9.0,17.0,2,0,,,0.0,0.0,
Yerson,Mosquera Valdelamar,22.0,Colombia,187 cm,76 kg,Wolves,Premier League,0,0,0,,Defender,,0.0,0,0,0,,,0,0.0,,,,,,,,,,,,,,,,0,0,,,0.0,0.0,
Million,Manhoef,21.0,Netherlands,179 cm,69 kg,Vitesse,Premier League,0,0,0,,Attacker,,0.0,0,0,0,,,0,,,,,,,,,,,,,,,,,0,0,,,,,
Jordan Brian,Henderson,33.0,England,182 cm,78 kg,Liverpool,Premier League,35,23,2075,,Midfielder,6.911428,0.0,5,13,12,18.0,6.0,0,0.0,2.0,,1545.0,18.0,37.0,32.0,3.0,21.0,128.0,126.0,20.0,12.0,,9.0,18.0,2,0,,,0.0,0.0,
Fábio Henrique,Tavares,30.0,Brazil,188 cm,78 kg,Liverpool,Premier League,25,31,2677,,Midfielder,6.897222,0.0,12,11,5,13.0,4.0,0,0.0,2.0,,1815.0,21.0,44.0,65.0,11.0,37.0,251.0,51.0,11.0,7.0,,24.0,53.0,11,0,,,0.0,0.0,
Roberto Firmino,Barbosa de Oliveira,32.0,Brazil,181 cm,76 kg,Liverpool,Premier League,0,13,1211,,Attacker,7.120833,0.0,3,10,12,10.0,4.0,11,0.0,4.0,,546.0,7.0,18.0,17.0,1.0,7.0,157.0,90.0,23.0,13.0,,6.0,9.0,0,0,,,0.0,0.0,
Kalidou,Koulibaly,32.0,Senegal,195 cm,89 kg,Chelsea,Premier League,12,20,1800,,Defender,7.117391,0.0,0,2,3,,,2,,1.0,,1449.0,,54.0,,13.0,29.0,,,6.0,4.0,,9.0,22.0,6,0,,,0.0,,
Alex,Nicolao Telles,31.0,Brazil,181 cm,71 kg,Manchester United,Premier League,30,0,0,,Defender,6.983333,0.0,1,0,0,7.0,1.0,0,0.0,,,,5.0,,11.0,,,73.0,44.0,,2.0,,,,0,0,,,0.0,0.0,
Aymeric Jean Louis Gérard Alph,Laporte,29.0,Spain,189 cm,86 kg,Manchester City,Premier League,30,11,993,,Defender,7.200000,0.0,8,11,1,28.0,13.0,0,0.0,,,947.0,53.0,73.0,30.0,4.0,3.0,213.0,105.0,3.0,24.0,,7.0,16.0,0,0,,,1.0,0.0,
Riyad Karim,Mahrez,32.0,Algeria,179 cm,67 kg,Manchester City,Premier League,10,22,1923,,Attacker,7.200000,0.0,8,11,8,28.0,13.0,5,0.0,10.0,,1033.0,53.0,29.0,30.0,1.0,1.0,213.0,105.0,51.0,24.0,,42.0,16.0,2,0,,,0.0,0.0,
Cristiano Ronaldo,dos Santos Aveiro,38.0,Portugal,187 cm,83 kg,Manchester City,Premier League,13,22,1923,,Attacker,6.810000,0.0,6,1,8,19.0,6.0,1,0.0,10.0,,1033.0,6.0,29.0,2.0,1.0,1.0,47.0,26.0,51.0,4.0,,42.0,7.0,2,0,,,0.0,0.0,
Gonçalo Manuel,Ganchinho Guedes,27.0,Portugal,179 cm,68 kg,Manchester United,Premier League,7,4,520,,Attacker,6.846153,0.0,5,7,6,13.0,1.0,0,0.0,,,172.0,9.0,12.0,8.0,,6.0,82.0,44.0,7.0,5.0,,5.0,11.0,2,0,,,0.0,0.0,
N'Golo,Kanté,32.0,France,168 cm,68 kg,Wolves,Premier League,35,8,709,,Attacker,7.300000,0.0,1,3,5,5.0,16.0,6,0.0,1.0,,325.0,13.0,9.0,16.0,,50.0,54.0,32.0,16.0,12.0,,24.0,5.0,1,0,,,3.0,0.0,
Rúben Diogo,da Silva Neves,26.0,Portugal,180 cm,80 kg,Chelsea,Premier League,31,33,3020,,Midfielder,7.248571,0.0,2,3,1,10.0,3.0,0,0.0,1.0,,2034.0,32.0,38.0,79.0,,18.0,264.0,139.0,26.0,17.0,,2.0,38.0,12,0,,,0.0,0.0,
João Filipe,Iria Santos Moutinho,37.0,Portugal,170 cm,61 kg,Wolves,Premier League,24,20,1784,,Midfielder,6.883333,0.0,11,14,2,76.0,35.0,14,0.0,1.0,,489.0,36.0,27.0,51.0,22.0,3.0,174.0,177.0,15.0,8.0,,18.0,31.0,3,0,,,4.0,0.0,
Aleksandar,Mitrović,29.0,Serbia,189 cm,89 kg,Wolves,Premier League,10,23,2015,,Midfielder,7.070833,0.0,1,9,11,,,0,0.0,2.0,,242.0,,12.0,14.0,5.0,,401.0,5.0,45.0,,,15.0,34.0,7,0,,,0.0,4.0,
Édouard Osoque,Mendy,31.0,Senegal,194 cm,86 kg,Fulham,Premier League,33,9,854,,Attacker,6.520000,0.0,1,0,1,39.0,24.0,4,0.0,1.0,25.0,658.0,37.0,18.0,,,13.0,6.0,128.0,1.0,31.0,,40.0,,1,0,,,2.0,0.0,0.0
Demarai Ramelle,Gray,27.0,Jamaica,180 cm,74 kg,Chelsea,Premier League,8,6,2512,,Goalkeeper,6.854545,0.0,6,11,1,,,0,0.0,,,26.0,,16.0,33.0,3.0,,317.0,1.0,73.0,,,2.0,24.0,3,0,,,0.0,0.0,
Jonjo,Shelvey,31.0,England,184 cm,80 kg,Everton,Premier League,3,0,542,,Attacker,6.250000,0.0,2,4,2,,,0,0.0,1.0,,26.0,,6.0,1.0,,,3.0,1.0,,,,51.0,1.0,2,0,,,0.0,0.0,
Allan Irénée,Saint-Maximin,26.0,France,173 cm,67 kg,Nottingham Forest,Premier League,25,12,34,,Midfielder,6.966666,0.0,3,0,13,19.0,13.0,1,0.0,,,405.0,31.0,12.0,1.0,,5.0,3.0,84.0,,56.0,,,1.0,0,0,,,0.0,0.0,
Nuno Miguel,da Costa Jóia,32.0,Cape Verde,184 cm,70 kg,Newcastle,Premier League,0,0,1117,,Midfielder,,0.0,13,10,0,,,0,,5.0,,,,,10.0,,,163.0,,89.0,,,16.0,6.0,0,0,,,,,
Connor Patrick,Ronan,25.0,Republic of Ireland,170 cm,70 kg,Wolves,Premier League,1,0,0,,Attacker,,0.0,0,0,1,,,0,0.0,,,3.0,,3.0,,,,,,,,,,,0,0,,,0.0,0.0,
Francisco Jorge,Tavares Oliveira,23.0,Portugal,179 cm,73 kg,Wolves,Premier League,0,0,0,,Midfielder,,0.0,1,0,0,,,0,,,,,,,,,,,,,,,,,0,0,,,,,
Emmanuel Bonaventure,Dennis,26.0,Nigeria,175 cm,67 kg,Tottenham,Premier League,19,6,714,,Attacker,6.666666,0.0,13,6,13,13.0,7.0,0,0.0,2.0,,168.0,7.0,30.0,17.0,1.0,2.0,164.0,75.0,42.0,2.0,,29.0,7.0,1,0,,,0.0,0.0,
Davinson,Sánchez Mina,27.0,Colombia,187 cm,81 kg,Liverpool,Premier League,13,8,334,,Defender,6.562500,0.0,4,4,10,6.0,3.0,1,0.0,,,588.0,5.0,,5.0,10.0,,42.0,58.0,5.0,4.0,,4.0,3.0,1,0,,,0.0,0.0,
Alexander Mark David,Oxlade-Chamberlain,30.0,England,180 cm,70 kg,Chelsea,Premier League,35,6,653,,Midfielder,,0.0,23,4,4,16.0,3.0,2,0.0,,,100.0,15.0,18.0,14.0,2.0,2.0,,14.0,29.0,14.0,,14.0,,0,0,,,,,
Hakim,Ziyech,30.0,Morocco,180 cm,65 kg,Tottenham,Premier League,1,9,0,,Midfielder,6.200000,0.0,9,6,23,,2.0,0,0.0,3.0,,316.0,,1.0,47.0,,19.0,109.0,,27.0,12.0,,,33.0,6,0,,,0.0,0.0,
Tanguy,Ndombélé Alvaro,27.0,France,181 cm,76 kg,Southampton,Premier League,3,12,739,,Midfielder,6.593750,0.0,0,0,1,3.0,,0,0.0,,,2.0,30.0,,1.0,,11.0,1.0,60.0,36.0,,,,,1,0,,,0.0,0.0,
Mateus,Cardoso Lemos Martins,23.0,Brazil,175 cm,70 kg,Aston Villa,Premier League,0,0,1233,,Attacker,,0.0,2,5,9,2.0,2.0,0,0.0,2.0,,207.0,,18.0,19.0,,,,8.0,,,,,11.0,1,0,,,0.0,0.0,
Frederico,Rodrigues de Paula Santos,30.0,Brazil,169 cm,64 kg,Chelsea,Premier League,0,7,76,,Attacker,,0.0,7,0,2,,2.0,0,0.0,,,,,50.0,,2.0,,,,,51.0,,77.0,1.0,0,0,,,,0.0,
Mislav,Oršić,31.0,Croatia,179 cm,69 kg,Arsenal,Premier League,27,1,0,,Attacker,6.845000,0.0,1,6,0,,,0,0.0,2.0,,,,6.0,,,16.0,375.0,167.0,116.0,1.0,,6.0,,0,0,,,0.0,2.0,
Moussa,Djenepo,25.0,Mali,177 cm,65 kg,Leicester,Premier League,11,0,0,,Defender,,0.0,1,2,0,40.0,2.0,0,0.0,,,1105.0,28.0,,33.0,2.0,8.0,98.0,55.0,3.0,9.0,,,,0,0,,,0.0,0.0,
Hans Carl Ludwig,Augustinsson,29.0,Sweden,181 cm,74 kg,Brighton,Premier League,0,0,1610,,Attacker,6.300000,0.0,1,4,2,6.0,5.0,0,0.0,2.0,,91.0,5.0,,3.0,,,114.0,,,,,,35.0,0,0,,,0.0,0.0,
Michy,Batshuayi-Atunga,30.0,Belgium,185 cm,76 kg,Brentford,Premier League,1,27,0,,Midfielder,6.300000,0.0,1,0,0,,,0,0.0,,,,,,,,,,,,,,,7.0,0,0,,,0.0,0.0,
Nicolas,Pépé,28.0,Côte d'Ivoire,183 cm,73 kg,Brentford,Premier League,1,4,7,,Attacker,6.300000,0.0,1,0,1,,,0,0.0,,,,,,,17.0,,1.0,,,,,,14.0,0,0,,,0.0,0.0,
Dazet Wilfried,Armel Zaha,31.0,Côte d'Ivoire,180 cm,66 kg,Brentford,Premier League,1,0,7,,Attacker,6.300000,0.0,1,0,1,,,0,0.0,,,,,,,,,1.0,,,,,,,0,0,,,0.0,0.0,
Daniel,Amartey,29.0,Ghana,186 cm,79 kg,Brentford,Premier League,1,0,7,,Attacker,6.300000,0.0,1,0,1,,,0,0.0,,,,,,,,,1.0,,,,,,,0,0,,,0.0,0.0,
Ebere Paul,Onuachu,29.0,Nigeria,201 cm,98 kg,Brentford,Premier League,1,0,7,,Attacker,6.300000,0.0,1,0,1,,,0,0.0,,,,,,,,,1.0,,,,,,,0,0,,,0.0,0.0,
Steven,Alzate,25.0,Colombia,180 cm,75 kg,Brentford,Premier League,1,0,7,,Attacker,6.300000,0.0,1,0,1,,,0,0.0,,,,,,,,,1.0,,,,,,,0,0,,,0.0,0.0,
Halil İbrahim,Dervişoğlu,24.0,Türkiye,183 cm,76 kg,Brentford,Premier League,1,0,7,,Attacker,6.300000,0.0,1,0,1,,,0,0.0,,,,,,,,,1.0,,,,,,,0,0,,,0.0,0.0,
Bartosz,Białek,22.0,Poland,191 cm,84 kg,Brentford,Premier League,1,0,7,,Attacker,6.300000,0.0,0,0,1,,,0,,,,,,,,,,1.0,,,,,,,0,0,,,,0.0,
Isaac Jude,Price,20.0,Northern Ireland,,,Brentford,Premier League,1,0,32,,Attacker,,0.0,1,0,1,,,0,0.0,,,,,11.0,,1.0,,,,,,,,,0,0,,,0.0,,
Romaine Lee,Mundle,20.0,England,,,Everton,Premier League,1,0,0,,Attacker,,0.0,0,0,0,,,0,0.0,,,,1.0,,,,,2.0,1.0,1.0,,,,,0,0,,,0.0,0.0,
Diego,da Silva Costa,35.0,Spain,188 cm,83 kg,Wolves,Premier League,23,16,1248,,Attacker,6.495652,0.0,7,14,7,22.0,15.0,0,0.0,,,215.0,11.0,7.0,3.0,,1.0,172.0,48.0,10.0,5.0,,10.0,29.0,5,0,,,0.0,,
Lucas,Rodrigues Moura da Silva,31.0,Brazil,172 cm,72 kg,Tottenham,Premier League,15,0,139,,Defender,6.445454,0.0,15,0,15,2.0,1.0,0,0.0,,,,4.0,5.0,,,2.0,42.0,21.0,,5.0,,3.0,3.0,0,0,,,0.0,0.0,
Francisco,Reis Ferreira,26.0,Portugal,191 cm,83 kg,Vitesse,Premier League,0,0,0,,Attacker,,0.0,0,0,0,,,0,,,,,,,,,,,,,,,,,0,0,,,,0.0,
Armstrong Inya Echezolachuku,Oko-Flex,21.0,Republic of Ireland,180 cm,73 kg,West Ham,Premier League,0,0,0,,Goalkeeper,,0.0,0,0,0,,,0,0.0,,,,,,,,,,,,,,,,0,0,,,0.0,0.0,0.0
Jack,Butland,30.0,England,196 cm,95 kg,Southampton,Premier League,0,0,0,,Goalkeeper,,0.0,0,0,0,,,1,0.0,,,,,,46.0,,,,,,,,,,4,0,,,0.0,0.0,0.0
Mohamed Amine,Elyounoussi,29.0,Norway,178 cm,70 kg,Brentford,Premier League,33,0,0,,Midfielder,6.636363,0.0,6,0,3,26.0,,1,0.0,,,581.0,,,5.0,3.0,,,,44.0,24.0,,,2.0,0,0,,,0.0,0.0,
Pontus,Jansson,32.0,Sweden,194 cm,89 kg,Brentford,Premier League,12,9,17,,Defender,6.810000,0.0,3,18,1,4.0,2.0,0,0.0,1.0,,315.0,18.0,12.0,,9.0,27.0,50.0,125.0,2.0,,,1.0,,0,0,,,0.0,0.0,
Mads,Bech Sørensen,24.0,Denmark,189 cm,92 kg,Brentford,Premier League,1,0,0,,Defender,6.450000,0.0,1,2,3,,,0,0.0,,,7.0,,25.0,,,1.0,1.0,33.0,,,,,,0,0,,,0.0,0.0,
Luka,Račić,24.0,Denmark,187 cm,74 kg,Brentford,Premier League,3,0,0,,Defender,6.450000,0.0,3,0,0,,,0,0.0,,,7.0,,3.0,,,,1.0,1.0,,,,,,0,0,,,0.0,,
Maksim,Paskotši,20.0,Estonia,188 cm,84 kg,Tottenham,Premier League,0,0,0,,Defender,,0.0,0,0,0,,,0,,,,,,3.0,,,,,,,,,,,0,0,,,,,
Nathan Wallace,Newman Trott,25.0,England,188 cm,75 kg,West Ham,Premier League,0,0,66,,Defender,,0.0,0,0,0,,,0,,,,,,,2.0,,,,,,,,,1.0,0,0,,,,,
Nathaniel Harry,Phillips,26.0,England,190 cm,84 kg,Liverpool,Premier League,0,1,0,,Goalkeeper,,0.0,1,0,1,,,0,0.0,,,82.0,,,,,2.0,,6.0,2.0,,,,,0,0,,,0.0,0.0,
Alexander Cole,Mighten,21.0,England,172 cm,70 kg,Nottingham Forest,Premier League,1,0,7,,Defender,7.000000,0.0,0,1,0,,,0,0.0,,,1.0,,,,,,7.0,1.0,2.0,,,,,0,0,,,0.0,0.0,
Leighton,Owen Clarkson,22.0,England,175 cm,62 kg,Nottingham Forest,Premier League,0,0,0,,Attacker,6.200000,0.0,1,0,1,,,0,,,,1.0,,35.0,,,,4.0,1.0,,,,1.0,,0,0,,,0.0,0.0,
William Jonathan,Dennis,23.0,England,,,Liverpool,Premier League,0,0,0,,Attacker,6.200000,0.0,0,0,0,,,0,0.0,,,,,1.0,,,,,,,,,1.0,,0,0,,,,,
Rhys,Williams,22.0,England,195 cm,82 kg,Bournemouth,Premier League,0,0,0,,Midfielder,,0.0,0,0,0,,,0,0.0,,,,,,,,,,,,,,,,0,0,,,0.0,0.0,
Jamal Marcus,Baptiste,20.0,England,,,Liverpool,Premier League,0,0,0,,Defender,,0.0,0,0,0,,,0,,,,,,,,,,,,,,,,,0,0,,,,0.0,0.0
Gabriel,Vidović,20.0,Croatia,180 cm,75 kg,West Ham,Premier League,0,0,0,,Defender,,0.0,0,0,0,,,0,,,,,,,,,,,,,,,,,0,0,,,,,
Odeluga Joshua,Offiah,21.0,England,181 cm,77 kg,Vitesse,Premier League,2,0,23,,Midfielder,,0.0,2,0,2,,,0,0.0,,,,,11.0,1.0,,,5.0,2.0,1.0,1.0,,,,0,0,,,0.0,,
Simon,van Duivenbooden,21.0,Netherlands,190 cm,80 kg,Brighton,Premier League,0,0,0,,Attacker,,0.0,0,0,0,,,0,,,,,,,,,,,,,,,,,0,0,,,,0.0,
Joseph George,Willock,24.0,England,179 cm,71 kg,Newcastle,Premier League,35,31,2577,,Midfielder,6.874285,0.0,4,23,4,37.0,17.0,3,0.0,6.0,,888.0,40.0,21.0,51.0,8.0,25.0,279.0,125.0,78.0,35.0,,23.0,35.0,1,0,,,0.0,0.0,
